101,1
102,1
103,1
104,1
105,1
201,2
202,2
203,2
204,2
205,2
301,3
302,3
303,3
304,3
305,3
401,4
402,4
403,4
404,4
405,4
501,5
502,5
503,5
504,5
505,5
601,6
602,6
603,6
604,6
605,6
701,7
702,7
703,7
704,7
705,7
801,8
802,8
803,8
804,8
805,8
901,9
902,9
903,9
904,9
905,9
1001,10
1002,10
1003,10
1004,10
1005,10
1101,11
1102,11
1103,11
1104,11
1105,11
1201,12
1202,12
1203,12
1204,12
1205,12
1301,13
1302,13
1303,13
1304,13
1305,13
1401,14
1402,14
1403,14
1404,14
1405,14
1501,15
1502,15
1503,15
1504,15
1505,15
1601,16
1602,16
1603,16
1604,16
1605,16
1701,17
1702,17
1703,17
1704,17
1705,17
1801,18
1802,18
1803,18
1804,18
1805,18
1901,19
1902,19
1903,19
1904,19
1905,19
